# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       2.920709393776e+06       8.858447692695e-11       1.586682813941e-01       1.841272161989e+07       1.444364418122e+04       4.945250378811e-03       4.218570168408e+10       9.160290573072e-02       2.002318023367e+14       4.977756857950e+10       3.235541957668e+11       2.101887586975e+03      -4.000000000000e-01       1.384231833486e+14       3.390283174517e+14       3.390283174517e+14       1.128849952276e+14      -2.846595125113e+15       2.113260061763e-04       5.747333668481e-02 
       2.889482863230e+06       9.050912105523e-11       1.603825255515e-01       1.802121739857e+07       1.444364246697e+04       4.998692898331e-03       4.173467183459e+10       9.259253230400e-02       1.918051066031e+14       4.819799931194e+10       3.132869955276e+11       2.061610818187e+03      -4.000000000000e-01       1.325976849265e+14       3.247642765265e+14       3.247642765265e+14       1.081342638424e+14      -2.697659747118e+15       2.114565789583e-04       5.745535055989e-02 
       2.858590188521e+06       9.247557729566e-11       1.621152851076e-01       1.763803874793e+07       1.444364073421e+04       5.052712956022e-03       4.128846413299e+10       9.359284673278e-02       1.837330458483e+14       4.666855380779e+10       3.033455997507e+11       2.022105840488e+03      -4.000000000000e-01       1.270173508696e+14       3.111004108735e+14       3.111004108735e+14       1.035834655718e+14      -2.556516911890e+15       2.115871917508e-04       5.743757563129e-02 
       2.828027800256e+06       9.448475386882e-11       1.638667599309e-01       1.726300860762e+07       1.444363898274e+04       5.107316793036e-03       4.084702702369e+10       9.460396436831e-02       1.760006953650e+14       4.518764151215e+10       2.937196698290e+11       1.983357864658e+03      -4.000000000000e-01       1.216718635086e+14       2.980114661869e+14       2.980114661869e+14       9.922418629040e+13      -2.422758893924e+15       2.117178450111e-04       5.742001366928e-02 
       2.797792167206e+06       9.653757872022e-11       1.656371520476e-01       1.689595368298e+07       1.444363721235e+04       5.162510717964e-03       4.041030950230e+10       9.562600180519e-02       1.685937585476e+14       4.375372234247e+10       2.843991952261e+11       1.945352384892e+03      -4.000000000000e-01       1.165513393902e+14       2.854732508573e+14       2.854732508573e+14       9.504836597849e+13      -2.295999301230e+15       2.118485392015e-04       5.740266646408e-02 
       2.767879795893e+06       9.863499994752e-11       1.674266656628e-01       1.653670436491e+07       1.444363542283e+04       5.218301107571e-03       3.997826110974e+10       9.665907689466e-02       1.614985404589e+14       4.236530508695e+10       2.753744830652e+11       1.908075173346e+03      -4.000000000000e-01       1.116463110035e+14       2.734625912525e+14       2.734625912525e+14       9.104828382004e+13      -2.175871959089e+15       2.119792747897e-04       5.738553582611e-02 
       2.738287230193e+06       1.007779862373e-10       1.692355071809e-01       1.618509465155e+07       1.444363361399e+04       5.274694407525e-03       3.955083192642e+10       9.770330875814e-02       1.547019225092e+14       4.102094585375e+10       2.666361480493e+11       1.871512274810e+03      -4.000000000000e-01       1.069477092748e+14       2.619572888797e+14       2.619572888797e+14       8.721654392724e+13      -2.062029852205e+15       2.121100522485e-04       5.736862358612e-02 
       2.709011050931e+06       1.029675273107e-10       1.710638852310e-01       1.584096207152e+07       1.444363178561e+04       5.331697133148e-03       3.912797256644e+10       9.875881780082e-02       1.481913382005e+14       3.971924656939e+10       2.581751027010e+11       1.835650001464e+03      -4.000000000000e-01       1.024468467996e+14       2.509360793513e+14       2.509360793513e+14       8.354606166599e+13      -1.954144122212e+15       2.122408720562e-04       5.735193159546e-02 
       2.680047875487e+06       1.052046343837e-10       1.729120106938e-01       1.550414760882e+07       1.444362993749e+04       5.389315870167e-03       3.870963417192e+10       9.982572572559e-02       1.419547498924e+14       3.845885352485e+10       2.499825479115e+11       1.800474927801e+03      -4.000000000000e-01       9.813540178056e+13       2.403785930762e+14       2.403785930762e+14       8.003005055692e+13      -1.851903117635e+15       2.123717346966e-04       5.733546172628e-02 
       2.651394357408e+06       1.074903406320e-10       1.747800967241e-01       1.517449562940e+07       1.444362806940e+04       5.447557275472e-03       3.829576840734e+10       1.009041555469e-01       1.359806265447e+14       3.723845596773e+10       2.420499637902e+11       1.765973885575e+03      -4.000000000000e-01       9.400540264031e+13       2.302653176066e+14       2.302653176066e+14       7.666200972764e+13      -1.755011493564e+15       2.125026406591e-04       5.731921587177e-02 
       2.623047186017e+06       1.098257016689e-10       1.766683587721e-01       1.485185380915e+07       1.444362618114e+04       5.506428077889e-03       3.788632745395e+10       1.019942316047e-01       1.302579223979e+14       3.605678473917e+10       2.343691008046e+11       1.732133958882e+03      -4.000000000000e-01       9.004921328318e+13       2.205775615683e+14       2.205775615683e+14       7.343571189300e+13      -1.663189358435e+15       2.126335904384e-04       5.730319594636e-02 
       2.595003086035e+06       1.122117960265e-10       1.785770146107e-01       1.453607306358e+07       1.444362427248e+04       5.565935078951e-03       3.748126400425e+10       1.030960795792e-01       1.247760565498e+14       3.491261095394e+10       2.269319712006e+11       1.698942479276e+03      -4.000000000000e-01       8.625951897621e+13       2.112974201098e+14       2.112974201098e+14       7.034519184131e+13      -1.576171465448e+15       2.127645845350e-04       5.728740388588e-02 
       2.567258817199e+06       1.146497256615e-10       1.805062843632e-01       1.422700747888e+07       1.444362234321e+04       5.626085153692e-03       3.708053125653e+10       1.042098265044e-01       1.195248933923e+14       3.380474472248e+10       2.197308406961e+11       1.666387021095e+03      -4.000000000000e-01       8.262931282486e+13       2.024077418042e+14       2.024077418042e+14       6.738473540505e+13      -1.493706446310e+15       2.128956234551e-04       5.727184164792e-02 
