# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       7.400989077217e+13       1.380112895898e-25       6.262780516408e-09       1.181629353619e+22       1.450420799504e+04       1.959766166889e-10       1.073454849450e+18       3.616161892458e-09       8.255400073962e+43       8.099113415667e+32       5.264423720184e+33       3.495814895666e-08      -1.000000000000e+00       5.707079218778e+43       1.396247929335e+44       1.396247929335e+44       4.654159764247e+43      -2.972300991929e+52       9.234489197936e-06       1.248483961328e+00 
       7.321862022383e+13       1.410103724190e-25       6.331902113743e-09       1.156497838866e+22       1.450420799504e+04       1.980945277404e-10       1.061978096836e+18       3.655241601891e-09       7.907974021903e+43       7.842107880624e+32       5.097370122406e+33       3.495814895666e-08      -1.000000000000e+00       5.466898490527e+43       1.337487251302e+44       1.337487251302e+44       4.458290837477e+43      -2.816771855474e+52       9.358415389613e-06       1.231951262567e+00 
       7.243580947828e+13       1.440746274646e-25       6.399204721674e-09       1.131900834390e+22       1.450420799504e+04       2.002353269676e-10       1.050624046962e+18       3.694743644111e-09       7.575169291715e+43       7.593257787005e+32       4.935617561553e+33       3.495814895666e-08      -1.000000000000e+00       5.236825696652e+43       1.281199498894e+44       1.281199498894e+44       4.270664996122e+43      -2.669380963548e+52       9.482341581289e-06       1.215850700615e+00 
       7.166136808825e+13       1.472054709186e-25       6.468326319009e-09       1.107826971946e+22       1.450420799504e+04       2.023992617219e-10       1.039391387961e+18       3.734672583236e-09       7.256370549422e+43       7.352304341842e+32       4.778997822198e+33       3.495814895666e-08      -1.000000000000e+00       5.016435447747e+43       1.227280599772e+44       1.227280599772e+44       4.090935332390e+43      -2.529702472958e+52       9.606267772965e-06       1.200165551046e+00 
       7.089520657347e+13       1.504043498603e-25       6.539266905747e-09       1.084265125074e+22       1.450420799504e+04       2.045865820281e-10       1.028278821993e+18       3.775033032748e-09       6.950988357200e+43       7.118996964331e+32       4.627348026815e+33       3.495814895666e-08      -1.000000000000e+00       4.805320256793e+43       1.175630861453e+44       1.175630861453e+44       3.918769537997e+43      -2.397332823257e+52       9.730193964642e-06       1.184879941484e+00 
       7.013723641037e+13       1.536727426447e-25       6.608388503082e-09       1.061204403958e+22       1.450420799504e+04       2.067975406128e-10       1.017285065093e+18       3.815829655918e-09       6.658458083535e+43       6.893093025235e+32       4.480510466403e+33       3.495814895666e-08      -1.000000000000e+00       4.603089785739e+43       1.126154786979e+44       1.126154786979e+44       3.753849289758e+43      -2.271889570770e+52       9.854120156320e-06       1.169978797973e+00 
       6.938737002177e+13       1.570121599686e-25       6.681148079224e-09       1.038634150390e+22       1.450420799504e+04       2.090323929339e-10       1.006408847025e+18       3.857067166502e-09       6.378238859265e+43       6.674357594562e+32       4.338332436465e+33       3.495814895666e-08      -1.000000000000e+00       4.409370123796e+43       1.078760898356e+44       1.078760898356e+44       3.595869661020e+43      -2.153010283638e+52       9.978046348000e-06       1.155447795457e+00 
       6.864552076686e+13       1.604241451204e-25       6.752088665962e-09       1.016543932849e+22       1.450420799504e+04       2.112913972101e-10       9.956489111306e+17       3.898750329099e-09       6.109812577545e+43       6.462563197247e+32       4.200666078210e+33       3.495814895666e-08      -1.000000000000e+00       4.223803096099e+43       1.033361567413e+44       1.033361567413e+44       3.444538557881e+43      -2.040351494672e+52       1.010197253968e-05       1.141273311780e+00 
       6.791160293113e+13       1.639102751795e-25       6.826667231508e-09       9.949235416772e+21       1.450420799504e+04       2.135748144504e-10       9.850040141898e+17       3.940883959904e-09       5.852682935902e+43       6.257489576590e+32       4.067368224784e+33       3.495814895666e-08      -1.000000000000e+00       4.046045601464e+43       9.898728537836e+43       9.898728537836e+43       3.299576179122e+43      -1.933587709008e+52       1.022589873137e-05       1.127442385156e+00 
       6.718553171646e+13       1.674721612504e-25       6.899426807649e-09       9.737629843592e+21       1.450420799504e+04       2.158829084847e-10       9.744729262731e+17       3.983472927061e-09       5.606374518605e+43       6.058923465200e+32       3.938300252380e+33       3.495814895666e-08      -1.000000000000e+00       3.875768978021e+43       9.482143497081e+43       9.482143497081e+43       3.160714498875e+43      -1.832410463682e+52       1.034982492305e-05       1.113942674576e+00 
       6.646722323137e+13       1.711114496630e-25       6.974005373195e-09       9.530524809068e+21       1.450420799504e+04       2.182159459942e-10       9.640544306008e+17       4.026522151410e-09       5.370431917652e+43       5.866658363202e+32       3.813327936082e+33       3.495814895666e-08      -1.000000000000e+00       3.712658395534e+43       9.083090313626e+43       9.083090313626e+43       3.027696771062e+43      -1.736527436417e+52       1.047375111474e-05       1.100762423134e+00 
       6.575659448129e+13       1.748298223629e-25       7.050402928144e-09       9.327824593377e+21       1.450420799504e+04       2.205741965419e-10       9.537473234023e+17       4.070036606908e-09       5.144418890750e+43       5.680494323490e+32       3.692321310269e+33       3.495814895666e-08      -1.000000000000e+00       3.556412273305e+43       8.700831164481e+43       8.700831164481e+43       2.900277054685e+43      -1.645661601043e+52       1.059767730643e-05       1.087890423833e+00 
       6.505356335897e+13       1.786289979288e-25       7.124981493689e-09       9.129435512515e+21       1.450420799504e+04       2.229579326040e-10       9.435504137772e+17       4.114021321296e-09       4.927917554735e+43       5.500237743789e+32       3.575154533463e+33       3.495814895666e-08      -1.000000000000e+00       3.406741722570e+43       8.334659277718e+43       8.334659277718e+43       2.778219759102e+43      -1.559550427106e+52       1.072160349812e-05       1.075315987830e+00 
       6.435804863501e+13       1.825107322834e-25       7.203198038042e-09       8.935265874999e+21       1.450420799504e+04       2.253674296015e-10       9.334625235572e+17       4.158481376651e-09       4.720527612930e+43       5.325701165320e+32       3.461705757458e+33       3.495814895666e-08      -1.000000000000e+00       3.263370012362e+43       7.983897625692e+43       7.983897625692e+43       2.661299208431e+43      -1.477945121370e+52       1.084552968981e-05       1.063028914828e+00 
       6.366996994847e+13       1.864768194328e-25       7.281414582394e-09       8.745225939486e+21       1.450420799504e+04       2.278029659317e-10       9.234824871707e+17       4.203421909941e-09       4.521865615026e+43       5.156703077848e+32       3.351857000601e+33       3.495814895666e-08      -1.000000000000e+00       3.126032057854e+43       7.647897673267e+43       7.647897673267e+43       2.549299224293e+43      -1.400609908995e+52       1.096945588151e-05       1.051019465466e+00 
       6.298924779757e+13       1.905290925114e-25       7.359631126747e-09       8.559227873303e+21       1.450420799504e+04       2.302648230005e-10       9.136091515072e+17       4.248848113703e-09       4.331564248103e+43       4.993067730920e+32       3.245494025098e+33       3.495814895666e-08      -1.000000000000e+00       2.994473930236e+43       7.326038178713e+43       7.326038178713e+43       2.442012726113e+43      -1.327321352335e+52       1.109338207320e-05       1.039278335603e+00 
