# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_fld            13:(.)w_fld              14:(.)rho_ur             15:(.)rho_crit           16:(.)rho_tot            17:(.)p_tot              18:(.)p_tot_prime        19:gr.fac. D             20:gr.fac. f          
       1.752862766203e+13       2.460357995674e-24       2.644628693815e-08       6.628230098272e+20       1.385745002626e+04       7.905610349787e-10       2.429020818555e+17       1.526826581235e-08       2.597590790056e+41       1.075999176104e+31       6.993994644675e+31       1.351583300505e+16      -4.000000000000e-01       1.795752632701e+41       4.393343423563e+41       4.393343423563e+41       1.464447807585e+41      -2.215050082126e+49       3.148365499666e-05       4.461627113353e-01 
       1.734122180753e+13       2.513823312407e-24       2.673186827451e-08       6.487257413405e+20       1.385745002626e+04       7.991045948236e-10       2.403051145921e+17       1.543326931861e-08       2.488271955721e+41       1.041854976638e+31       6.772057348147e+31       1.325684004824e+16      -4.000000000000e-01       1.720178918276e+41       4.208450874778e+41       4.208450874778e+41       1.402816957999e+41      -2.099144987921e+49       3.163464412363e-05       4.440332194430e-01 
       1.715581958703e+13       2.568450468229e-24       2.701926860027e-08       6.349283009767e+20       1.385745002625e+04       8.077404845604e-10       2.377359125867e+17       1.560005601082e-08       2.383553771953e+41       1.008794259746e+31       6.557162688352e+31       1.300280996360e+16      -4.000000000000e-01       1.647785701102e+41       4.031339473811e+41       4.031339473811e+41       1.343779824352e+41      -1.989304763749e+49       3.178563325060e-05       4.419239587111e-01 
       1.697239957883e+13       2.624264710764e-24       2.731212589424e-08       6.214243118334e+20       1.385745002625e+04       8.164697019941e-10       2.351941789893e+17       1.576864515981e-08       2.283242621743e+41       9.767826437624e+30       6.349087184455e+31       1.275364765177e+16      -4.000000000000e-01       1.578439130900e+41       3.861681753376e+41       3.861681753376e+41       1.287227250881e+41      -1.885212058169e+49       3.193662237757e-05       4.398346421946e-01 
       1.679094059029e+13       2.681291836177e-24       2.760680217762e-08       6.082075326357e+20       1.385745002625e+04       8.252932557135e-10       2.326796201238e+17       1.593905624463e-08       2.187153036398e+41       9.457868380369e+30       6.147614447240e+31       1.250925983536e+16      -4.000000000000e-01       1.512010990440e+41       3.699164027548e+41       3.699164027548e+41       1.233054675613e+41      -1.786566125528e+49       3.208761150454e-05       4.377649883493e-01 
       1.661142165533e+13       2.739558201286e-24       2.790511643980e-08       5.952718548514e+20       1.385745002625e+04       8.342121652067e-10       2.301919454538e+17       1.611130895487e-08       2.095107352618e+41       9.157746083185e+30       5.952534954070e+31       1.226955502463e+16      -4.000000000000e-01       1.448378458477e+41       3.543485811782e+41       3.543485811782e+41       1.181161937032e+41      -1.693081957043e+49       3.223860063151e-05       4.357147209054e-01 
       1.643382203202e+13       2.799090735656e-24       2.820706868079e-08       5.826112998677e+20       1.385745002625e+04       8.432274609795e-10       2.277308675491e+17       1.628542319291e-08       2.006935384011e+41       8.867147432308e+30       5.763645831000e+31       1.203444348296e+16      -4.000000000000e-01       1.387423882659e+41       3.394359267335e+41       3.394359267335e+41       1.131453088890e+41      -1.604489457347e+49       3.238958975849e-05       4.336835687448e-01 
       1.625812120022e+13       2.859916954075e-24       2.851265890058e-08       5.702200162282e+20       1.385745002625e+04       8.523401846744e-10       2.252961020528e+17       1.646141907619e-08       1.922474106428e+41       8.585770218138e+30       5.580750641790e+31       1.180383719337e+16      -4.000000000000e-01       1.329034562000e+41       3.251508669072e+41       3.251508669072e+41       1.083836222809e+41      -1.520532664133e+49       3.254057888546e-05       4.316712657813e-01 
       1.608429885914e+13       2.922064969158e-24       2.882006810978e-08       5.580922769282e+20       1.385745002625e+04       8.615513891910e-10       2.228873676478e+17       1.663931693958e-08       1.841567356544e+41       8.313321820960e+30       5.403659183624e+31       1.157764982520e+16      -4.000000000000e-01       1.273102538502e+41       3.114669895669e+41       3.114669895669e+41       1.038223298348e+41      -1.440969008620e+49       3.269156801244e-05       4.296775508445e-01 
       1.591233492506e+13       2.985563504480e-24       2.913111529779e-08       5.462224767681e+20       1.385745002625e+04       8.708621388072e-10       2.205043860250e+17       1.681913733769e-08       1.764065543118e+41       8.049518906625e+30       5.232187289306e+31       1.135579670228e+16      -4.000000000000e-01       1.219524397545e+41       2.983589941267e+41       2.983589941267e+41       9.945299802210e+40      -1.365568614725e+49       3.284255713941e-05       4.277021675665e-01 
       1.574220952898e+13       3.050441907814e-24       2.944580046460e-08       5.346051297626e+20       1.385745002625e+04       8.802735093028e-10       2.181468818506e+17       1.700090104728e-08       1.689825370416e+41       7.794087131904e+30       5.066156635737e+31       1.113819477098e+16      -4.000000000000e-01       1.168201076684e+41       2.858026447685e+41       2.858026447685e+41       9.526754823667e+40      -1.294113634899e+49       3.299354626639e-05       4.257448642727e-01 
       1.557390301432e+13       3.116730164701e-24       2.976412361022e-08       5.232348666051e+20       1.385745002625e+04       8.897865880834e-10       2.158145827346e+17       1.718462906964e-08       1.618709573258e+41       7.546760859175e+30       4.905394558464e+31       1.092476256925e+16      -4.000000000000e-01       1.119037682488e+41       2.737747256313e+41       2.737747256313e+41       9.125824185822e+40      -1.226397620722e+49       3.314453539337e-05       4.238053938744e-01 
       1.540739593466e+13       3.184458912218e-24       3.008608473465e-08       5.121064321864e+20       1.385745002625e+04       8.994024743062e-10       2.135072191993e+17       1.737034263300e-08       1.550586663232e+41       7.307282880178e+30       4.749733872116e+31       1.071542019586e+16      -4.000000000000e-01       1.071943315086e+41       2.622529978867e+41       2.622529978867e+41       8.741766594396e+40      -1.162224926430e+49       3.329552452035e-05       4.218835137646e-01 
